POSTCODE,SA2_NAME_2011
2000,Sydney - Haymarket - The Rocks
2006,Newtown - Camperdown - Darlington
2006,Redfern - Chippendale
2007,Pyrmont - Ultimo
2007,Redfern - Chippendale
2008,Newtown - Camperdown - Darlington
2008,Redfern - Chippendale
2009,Pyrmont - Ultimo
2010,Darlinghurst
2010,Potts Point - Woolloomooloo
2010,Surry Hills
2011,Potts Point - Woolloomooloo
2015,Erskineville - Alexandria
2015,Newtown - Camperdown - Darlington
2015,Redfern - Chippendale
2015,Waterloo - Beaconsfield
2016,Redfern - Chippendale
2017,Waterloo - Beaconsfield
2018,Mascot - Eastlakes
2018,Waterloo - Beaconsfield
2019,Banksmeadow
2019,Botany
2019,Pagewood - Hillsdale - Daceyville
2020,Mascot - Eastlakes
2020,Sydney Airport
2021,Double Bay - Bellevue Hill
2021,Paddington - Moore Park
2021,Woollahra
2022,Bondi Junction - Waverly
2023,Double Bay - Bellevue Hill
2024,Bondi - Tamarama - Bronte
2024,Bondi Junction - Waverly
2025,Double Bay - Bellevue Hill
2025,Woollahra
2026,Bondi - Tamarama - Bronte
2026,Bondi Beach - North Bondi
2026,Bondi Junction - Waverly
2026,Dover Heights
2027,Double Bay - Bellevue Hill
2027,Woollahra
2028,Double Bay - Bellevue Hill
2029,Bondi Beach - North Bondi
2029,Double Bay - Bellevue Hill
2029,Dover Heights
2029,Rose Bay - Vaucluse - Watsons Bay
2030,Dover Heights
2030,Rose Bay - Vaucluse - Watsons Bay
2031,Coogee - Clovelly
2031,Kensington - Kingsford
2031,Randwick
2032,Pagewood - Hillsdale - Daceyville
2032,Kensington - Kingsford
2033,Waterloo - Beaconsfield
2033,Kensington - Kingsford
2034,Coogee - Clovelly
2035,Pagewood - Hillsdale - Daceyville
2035,Kensington - Kingsford
2035,Maroubra
2036,Pagewood - Hillsdale - Daceyville
2036,Malabar - La Perouse - Chifley
2037,Glebe - Forest Lodge
2038,Glebe - Forest Lodge
2038,Leichhardt - Annandale
2038,Lilyfield - Rozelle
2039,Balmain
2039,Lilyfield - Rozelle
2040,Leichhardt - Annandale
2040,Lilyfield - Rozelle
2041,Balmain
2042,Marrickville
2042,Petersham - Stanmore
2042,Newtown - Camperdown - Darlington
2043,Erskineville - Alexandria
2043,Newtown - Camperdown - Darlington
2044,Marrickville
2044,Sydenham - Tempe - St Peters
2044,Newtown - Camperdown - Darlington
2045,Leichhardt - Annandale
2045,Haberfield - Summer Hill
2046,Drummoyne - Rodd Point
2046,Five Dock - Abbotsford
2047,Drummoyne - Rodd Point
2048,Petersham - Stanmore
2048,Leichhardt - Annandale
2049,Marrickville
2049,Petersham - Stanmore
2049,Dulwich Hill - Lewisham
2050,Petersham - Stanmore
2050,Glebe - Forest Lodge
2050,Newtown - Camperdown - Darlington
2052,Kensington - Kingsford
2060,Crows Nest - Waverton
2060,Neutral Bay - Kirribilli
2060,North Sydney - Lavender Bay
2061,Neutral Bay - Kirribilli
2061,North Sydney - Lavender Bay
2062,St Leonards - Naremburn
2062,Cremorne - Cammeray
2062,Crows Nest - Waverton
2062,Neutral Bay - Kirribilli
2063,Willoughby - Castle Cove - Northbridge
2064,Chatswood (East) - Artarmon
2064,St Leonards - Naremburn
2065,Lane Cove - Greenwich
2065,St Leonards - Naremburn
2065,Crows Nest - Waverton
2065,North Sydney - Lavender Bay
2066,Chatswood (West) - Lane Cove North
2066,Lane Cove - Greenwich
2067,Chatswood (East) - Artarmon
2067,Chatswood (West) - Lane Cove North
2067,Willoughby - Castle Cove - Northbridge
2068,Chatswood (East) - Artarmon
2068,Willoughby - Castle Cove - Northbridge
2069,Chatswood (East) - Artarmon
2069,Willoughby - Castle Cove - Northbridge
2069,Lindfield - Roseville
2070,Gordon - Killara
2070,Lindfield - Roseville
2071,Gordon - Killara
2071,Lindfield - Roseville
2072,Gordon - Killara
2073,Pymble
2073,Turramurra
2074,Pymble
2074,Turramurra
2074,Wahroonga - Warrawee
2075,St Ives
2076,Hornsby - Waitara
2076,Normanhurst - Thornleigh - Westleigh
2076,Wahroonga - Warrawee
2077,Asquith - Mount Colah
2077,Hornsby - Waitara
2079,Asquith - Mount Colah
2080,Asquith - Mount Colah
2081,Berowra - Brooklyn - Cowan
2082,Galston - Laughtondale
2082,Berowra - Brooklyn - Cowan
2083,Calga - Kulnura
2083,Berowra - Brooklyn - Cowan
2084,Bayview - Elanora Heights
2084,Terrey Hills - Duffys Forest
2085,Frenchs Forest - Belrose
2086,Forestville - Killarney Heights
2086,Frenchs Forest - Belrose
2086,Manly Vale - Allambie Heights
2087,Forestville - Killarney Heights
2087,Frenchs Forest - Belrose
2088,Mosman
2089,Cremorne - Cammeray
2089,Neutral Bay - Kirribilli
2090,Cremorne - Cammeray
2090,Neutral Bay - Kirribilli
2092,Balgowlah - Clontarf - Seaforth
2093,Balgowlah - Clontarf - Seaforth
2093,Manly Vale - Allambie Heights
2094,Balgowlah - Clontarf - Seaforth
2094,Manly - Fairlight
2095,Manly - Fairlight
2096,Freshwater - Brookvale
2097,Narrabeen - Collaroy
2099,Beacon Hill - Narraweena
2099,Cromer
2099,Dee Why - North Curl Curl
2099,Narrabeen - Collaroy
2100,Beacon Hill - Narraweena
2100,Cromer
2100,Dee Why - North Curl Curl
2100,Frenchs Forest - Belrose
2100,Freshwater - Brookvale
2100,Manly Vale - Allambie Heights
2101,Bayview - Elanora Heights
2101,Warriewood - Mona Vale
2101,Narrabeen - Collaroy
2101,Terrey Hills - Duffys Forest
2102,Warriewood - Mona Vale
2103,Newport - Bilgola
2103,Warriewood - Mona Vale
2104,Bayview - Elanora Heights
2105,Bayview - Elanora Heights
2106,Newport - Bilgola
2107,Avalon - Palm Beach
2107,Newport - Bilgola
2108,Avalon - Palm Beach
2108,Bayview - Elanora Heights
2109,Macquarie Park - Marsfield
2110,Gladesville - Huntleys Point
2110,Hunters Hill - Woolwich
2111,Gladesville - Huntleys Point
2111,Hunters Hill - Woolwich
2112,Eastwood - Denistone
2112,Macquarie Park - Marsfield
2112,Ryde - Putney
2113,Macquarie Park - Marsfield
2113,North Ryde - East Ryde
2113,Ryde - Putney
2114,Ermington - Rydalmere
2114,Eastwood - Denistone
2114,West Ryde - Meadowbank
2115,Ermington - Rydalmere
2116,Ermington - Rydalmere
2117,Carlingford
2117,Ermington - Rydalmere
2117,Oatlands - Dundas Valley
2118,Carlingford
2118,Oatlands - Dundas Valley
2119,Carlingford
2119,Pennant Hills - Cheltenham
2120,Cherrybrook
2120,Normanhurst - Thornleigh - Westleigh
2120,Pennant Hills - Cheltenham
2121,Carlingford
2121,Epping - North Epping
2121,Eastwood - Denistone
2122,Carlingford
2122,Eastwood - Denistone
2122,Macquarie Park - Marsfield
2123,Parramatta - Rosehill
2125,West Pennant Hills
2125,Pennant Hills - Cheltenham
2126,Cherrybrook
2127,Homebush Bay - Silverwater
2128,Homebush Bay - Silverwater
2129,Homebush
2130,Ashfield
2130,Dulwich Hill - Lewisham
2130,Haberfield - Summer Hill
2131,Ashfield
2131,Croydon Park - Enfield
2131,Haberfield - Summer Hill
2132,Burwood - Croydon
2132,Croydon Park - Enfield
2133,Croydon Park - Enfield
2133,Strathfield
2134,Burwood - Croydon
2135,Concord West - North Strathfield
2135,Burwood - Croydon
2135,Homebush
2135,Strathfield
2136,Belmore - Belfield
2136,Croydon Park - Enfield
2136,Strathfield
2137,Concord - Mortlake - Cabarita
2137,Concord West - North Strathfield
2138,Concord West - North Strathfield
2139,Concord West - North Strathfield
2140,Homebush
2140,Strathfield
2141,Homebush Bay - Silverwater
2141,Lidcombe - Regents Park
2141,Rookwood Cemetery
2142,Granville - Clyde
2142,Guildford - South Granville
2142,Merrylands - Holroyd
2142,Parramatta - Rosehill
2143,Yagoona - Birrong
2143,Lidcombe - Regents Park
2144,Auburn
2144,Lidcombe - Regents Park
2145,Greystanes - Pemulwuy
2145,Merrylands - Holroyd
2145,Girraween - Westmead
2145,Northmead
2145,Toongabbie - Constitution Hill
2146,Seven Hills - Toongabbie
2146,Girraween - Westmead
2146,Toongabbie - Constitution Hill
2147,Lalor Park - Kings Langley
2147,Seven Hills - Toongabbie
2148,Blacktown (East) - Kings Park
2148,Blacktown (North) - Marayong
2148,Blacktown (South)
2148,Doonside - Woodcroft
2148,Lalor Park - Kings Langley
2148,Seven Hills - Toongabbie
2148,Prospect Reservoir
2150,Ermington - Rydalmere
2150,Granville - Clyde
2150,North Parramatta
2150,Parramatta - Rosehill
2151,Oatlands - Dundas Valley
2151,North Parramatta
2151,North Rocks
2152,Northmead
2152,Toongabbie - Constitution Hill
2153,Baulkham Hills (East)
2153,Baulkham Hills (West) - Bella Vista
2153,Castle Hill
2153,Lalor Park - Kings Langley
2153,Glenwood
2153,Northmead
2153,Winston Hills
2154,Baulkham Hills (East)
2154,Castle Hill
2154,Cherrybrook
2154,Glenhaven
2154,Kellyville
2155,Kellyville
2155,Rouse Hill - Beaumont Hills
2155,Parklea - Kellyville Ridge
2155,Riverstone - Marsden Park
2156,Castle Hill
2156,Glenhaven
2156,Dural - Kenthurst - Wisemans Ferry
2157,Dural - Kenthurst - Wisemans Ferry
2157,Galston - Laughtondale
2158,Dural - Kenthurst - Wisemans Ferry
2159,Dural - Kenthurst - Wisemans Ferry
2159,Galston - Laughtondale
2160,Granville - Clyde
2160,Guildford - South Granville
2160,Guildford West - Merrylands West
2160,Merrylands - Holroyd
2161,Fairfield - East
2161,Granville - Clyde
2161,Guildford - South Granville
2161,Guildford West - Merrylands West
2161,Yennora Industrial
2162,Chester Hill - Sefton
2162,Guildford - South Granville
2163,Bass Hill - Georges Hall
2163,Chester Hill - Sefton
2163,Fairfield - East
2164,Greystanes - Pemulwuy
2164,Guildford West - Merrylands West
2164,Smithfield Industrial
2164,Bossley Park - Abbotsbury
2164,Horsley Park - Kemps Creek
2164,Smithfield - Wetherill Park
2164,Wetherill Park Industrial
2165,Fairfield - East
2165,Canley Vale - Canley Heights
2165,Fairfield
2165,Fairfield - West
2166,Bonnyrigg Heights - Bonnyrigg
2166,Cabramatta - Lansvale
2166,Cabramatta West - Mount Pritchard
2166,Canley Vale - Canley Heights
2166,St Johns Park - Wakeley
2167,Ingleburn - Denham Court
2167,Macquarie Fields - Glenfield
2168,Ashcroft - Busby - Miller
2168,Green Valley - Cecil Hills
2168,Hoxton Park - Horningsea Park
2168,Cabramatta West - Mount Pritchard
2168,Prestons - Lurnea
2170,Bonnyrigg Heights - Bonnyrigg
2170,Cabramatta West - Mount Pritchard
2170,Casula
2170,Chipping Norton - Moorebank
2170,Holsworthy - Wattle Grove
2170,Liverpool - Warwick Farm
2170,Prestons - Lurnea
2171,Badgerys Creek - Greendale
2171,Green Valley - Cecil Hills
2171,Hoxton Park - Horningsea Park
2171,Bonnyrigg Heights - Bonnyrigg
2172,Holsworthy - Wattle Grove
2173,Ingleburn - Denham Court
2173,Holsworthy - Wattle Grove
2174,Prestons - Lurnea
2175,Horsley Park - Kemps Creek
2176,Bossley Park - Abbotsbury
2176,Edensor Park
2176,Greenfield Park - Prairiewood
2176,Smithfield - Wetherill Park
2176,St Johns Park - Wakeley
2177,Green Valley - Cecil Hills
2177,Bonnyrigg Heights - Bonnyrigg
2178,Badgerys Creek - Greendale
2178,Horsley Park - Kemps Creek
2179,Badgerys Creek - Greendale
2179,Cobbitty - Leppington
2179,Hoxton Park - Horningsea Park
2190,Bankstown
2190,Chullora
2190,Greenacre - Mount Lewis
2191,Belmore - Belfield
2191,Canterbury (South) - Campsie
2192,Belmore - Belfield
2192,Canterbury (South) - Campsie
2192,Lakemba - Wiley Park
2193,Canterbury (South) - Campsie
2193,Ashfield
2193,Canterbury (North) - Ashbury
2194,Canterbury (South) - Campsie
2195,Lakemba - Wiley Park
2196,Bankstown
2196,Greenacre - Mount Lewis
2196,Lakemba - Wiley Park
2196,Punchbowl
2196,Roselands
2197,Bass Hill - Georges Hall
2197,Chester Hill - Sefton
2198,Bass Hill - Georges Hall
2198,Yagoona - Birrong
2199,Bankstown
2199,Bass Hill - Georges Hall
2199,Yagoona - Birrong
2200,Bankstown
2200,Condell Park
2200,Greenacre - Mount Lewis
2200,Revesby
2200,Yagoona - Birrong
2200,Punchbowl
2203,Marrickville
2203,Dulwich Hill - Lewisham
2204,Marrickville
2204,Petersham - Stanmore
2204,Kingsgrove (North) - Earlwood
2204,Dulwich Hill - Lewisham
2205,Arncliffe - Bardwell Valley
2205,Rockdale - Banksia
2206,Canterbury (South) - Campsie
2206,Kingsgrove (North) - Earlwood
2206,Canterbury (North) - Ashbury
2207,Arncliffe - Bardwell Valley
2207,Bexley
2207,Kingsgrove (South) - Bardwell Park
2207,Rockdale - Banksia
2208,Canterbury (South) - Campsie
2208,Kingsgrove (North) - Earlwood
2208,Roselands
2208,Hurstville
2208,Narwee - Beverly Hills
2208,Bexley
2208,Kingsgrove (South) - Bardwell Park
2209,Roselands
2209,Hurstville
2209,Mortdale - Penshurst
2209,Narwee - Beverly Hills
2209,Riverwood
2210,Punchbowl
2210,Roselands
2210,Mortdale - Penshurst
2210,Narwee - Beverly Hills
2210,Peakhurst - Lugarno
2210,Riverwood
2211,Bankstown
2211,Padstow
2211,Revesby
2212,Bankstown
2212,Condell Park
2212,Padstow
2212,Panania - Milperra - Picnic Point
2212,Revesby
2213,Panania - Milperra - Picnic Point
2213,Revesby
2214,Condell Park
2214,Panania - Milperra - Picnic Point
2216,Bexley
2216,Monterey - Brighton-le-Sands - Kyeemagh
2216,Rockdale - Banksia
2217,Bexley
2217,Kogarah
2217,Kogarah Bay - Carlton - Allawah
2217,Monterey - Brighton-le-Sands - Kyeemagh
2217,Rockdale - Banksia
2217,Sans Souci - Ramsgate
2218,Hurstville
2218,South Hurstville - Blakehurst
2218,Bexley
2218,Kogarah Bay - Carlton - Allawah
2219,Sans Souci - Ramsgate
2220,Hurstville
2220,Oatley - Hurstville Grove
2220,South Hurstville - Blakehurst
2221,South Hurstville - Blakehurst
2221,Kogarah Bay - Carlton - Allawah
2222,Hurstville
2222,Mortdale - Penshurst
2222,Oatley - Hurstville Grove
2223,Mortdale - Penshurst
2223,Oatley - Hurstville Grove
2223,Peakhurst - Lugarno
2224,Miranda - Yowie Bay
2224,Sylvania - Taren Point
2225,Oyster Bay - Como - Jannali
2226,Oyster Bay - Como - Jannali
2226,Sutherland - Kirrawee
2227,Gymea - Grays Point
2227,Miranda - Yowie Bay
2227,Sylvania - Taren Point
2227,Sutherland - Kirrawee
2228,Caringbah - Lilli Pilli
2228,Gymea - Grays Point
2228,Miranda - Yowie Bay
2228,Sylvania - Taren Point
2229,Caringbah - Lilli Pilli
2229,Cronulla - Kurnell - Bundeena
2229,Sylvania - Taren Point
2230,Cronulla - Kurnell - Bundeena
2231,Cronulla - Kurnell - Bundeena
2232,Gymea - Grays Point
2232,Engadine - Loftus
2232,Menai - Lucas Heights - Woronora
2232,Oyster Bay - Como - Jannali
2232,Sutherland - Kirrawee
2233,Engadine - Loftus
2233,Heathcote - Waterfall
2233,Royal National Park
2234,Illawong - Alfords Point
2234,Menai - Lucas Heights - Woronora
2250,Calga - Kulnura
2250,Erina - Green Point
2250,Gosford - Springfield
2250,Kariong
2250,Narara
2250,Niagara Park - Lisarow
2250,Point Clare - Koolewong
2250,Wyoming
2250,Cessnock Region
2251,Avoca Beach - Copacabana
2251,Box Head - MacMasters Beach
2251,Erina - Green Point
2251,Gosford - Springfield
2251,Kincumber - Picketts Valley
2251,Saratoga - Davistown
2256,Calga - Kulnura
2256,Point Clare - Koolewong
2256,Umina - Booker Bay - Patonga
2256,Woy Woy - Blackwall
2257,Box Head - MacMasters Beach
2257,Umina - Booker Bay - Patonga
2258,Niagara Park - Lisarow
2258,Ourimbah - Fountaindale
2258,Tuggerah - Kangy Angy
2259,Gorokan - Kanwal - Charmhaven
2259,Jilliby - Yarramalong
2259,Lake Munmorah - Mannering Park
2259,Summerland Point - Gwandalan
2259,Tuggerah - Kangy Angy
2259,Warnervale - Wadalba
2259,Wyong
2259,Morisset - Cooranbong
2260,Erina - Green Point
2260,Terrigal - North Avoca
2260,Wamberal - Forresters Beach
2260,Bateau Bay - Killarney Vale
2261,Wamberal - Forresters Beach
2261,Bateau Bay - Killarney Vale
2261,Chittaway Bay - Tumbi Umbi
2261,The Entrance
2262,Blue Haven - San Remo
2262,Budgewoi - Buff Point - Halekulani
2262,Lake Munmorah - Mannering Park
2263,Gorokan - Kanwal - Charmhaven
2263,Toukley - Norah Head
2263,Warnervale - Wadalba
2264,Bonnells Bay - Silverwater
2264,Morisset - Cooranbong
2265,Morisset - Cooranbong
2267,Belmont South - Blacksmiths
2267,Swansea - Caves Beach
2267,Warners Bay - Boolaroo
2267,Bolton Point - Teralba
2267,Bonnells Bay - Silverwater
2267,Morisset - Cooranbong
2267,Toronto - Awaba
2267,Wangi Wangi - Rathmines
2278,Bolton Point - Teralba
2278,West Wallsend - Barnsley - Killingworth
2280,Belmont - Bennetts Green
2280,Belmont South - Blacksmiths
2280,Mount Hutton - Windale
2280,Redhead
2280,Valentine - Eleebana
2281,Belmont South - Blacksmiths
2281,Swansea - Caves Beach
2282,Mount Hutton - Windale
2282,Valentine - Eleebana
2282,Warners Bay - Boolaroo
2283,Bolton Point - Teralba
2283,Toronto - Awaba
2283,Wangi Wangi - Rathmines
2284,Glendale - Cardiff - Hillsborough
2284,Warners Bay - Boolaroo
2284,Bolton Point - Teralba
2284,Edgeworth - Cameron Park
2285,Glendale - Cardiff - Hillsborough
2285,Edgeworth - Cameron Park
2285,West Wallsend - Barnsley - Killingworth
2286,West Wallsend - Barnsley - Killingworth
2287,Glendale - Cardiff - Hillsborough
2287,Maryland - Fletcher - Minmi
2287,Shortland - Jesmond
2287,Wallsend - Elermore Vale
2289,Charlestown - Dudley
2289,Glendale - Cardiff - Hillsborough
2289,Adamstown - Kotara
2289,Hamilton - Broadmeadow
2289,Lambton - New Lambton
2289,Merewether - The Junction
2290,Belmont - Bennetts Green
2290,Charlestown - Dudley
2290,Glendale - Cardiff - Hillsborough
2290,Mount Hutton - Windale
2290,Redhead
2290,Valentine - Eleebana
2290,Warners Bay - Boolaroo
2290,Adamstown - Kotara
2291,Adamstown - Kotara
2291,Merewether - The Junction
2292,Adamstown - Kotara
2292,Hamilton - Broadmeadow
2292,Lambton - New Lambton
2293,Hamilton - Broadmeadow
2293,Wickham - Carrington - Tighes Hill
2294,Newcastle Port - Kooragang
2294,Wickham - Carrington - Tighes Hill
2295,Stockton - Fullerton Cove
2296,Mayfield - Warabrook
2296,Wickham - Carrington - Tighes Hill
2297,Mayfield - Warabrook
2297,Newcastle Port - Kooragang
2297,Wickham - Carrington - Tighes Hill
2298,Hamilton - Broadmeadow
2298,Shortland - Jesmond
2298,Waratah - North Lambton
2299,Lambton - New Lambton
2299,Shortland - Jesmond
2299,Wallsend - Elermore Vale
2299,Waratah - North Lambton
2300,Merewether - The Junction
2300,Newcastle - Cooks Hill
2300,Newcastle Port - Kooragang
2300,Wickham - Carrington - Tighes Hill
2302,Hamilton - Broadmeadow
2302,Newcastle - Cooks Hill
2303,Adamstown - Kotara
2303,Hamilton - Broadmeadow
2303,Merewether - The Junction
2303,Wickham - Carrington - Tighes Hill
2304,Mayfield - Warabrook
2304,Newcastle Port - Kooragang
2304,Shortland - Jesmond
2304,Waratah - North Lambton
2305,Glendale - Cardiff - Hillsborough
2305,Lambton - New Lambton
2306,Mount Hutton - Windale
2307,Shortland - Jesmond
2308,Shortland - Jesmond
2308,Waratah - North Lambton
2311,Dungog
2311,Singleton Region
2312,Forster-Tuncurry Region
2312,Taree Region
2314,Williamtown - Medowie - Karuah
2315,Nelson Bay Peninsula
2316,Anna Bay
2316,Nelson Bay Peninsula
2317,Nelson Bay Peninsula
2318,Raymond Terrace
2318,Williamtown - Medowie - Karuah
2318,Stockton - Fullerton Cove
2319,Anna Bay
2319,Lemon Tree Passage - Tanilba Bay
2320,Branxton - Greta - Pokolbin
2320,Cessnock
2320,Dungog
2320,Maitland
2320,Maitland - North
2320,Maitland - West
2320,Seaham - Woodville
2321,Branxton - Greta - Pokolbin
2321,Dungog
2321,Kurri Kurri - Abermain
2321,Maitland
2321,Maitland - East
2321,Maitland - North
2321,Maitland - West
2321,Thornton - Millers Forest
2321,Seaham - Woodville
2322,Cessnock Region
2322,Maitland - East
2322,Thornton - Millers Forest
2322,Raymond Terrace
2322,Beresfield - Hexham
2323,Cessnock Region
2323,Maitland
2323,Maitland - East
2323,Morisset - Cooranbong
2324,Thornton - Millers Forest
2324,Raymond Terrace
2324,Seaham - Woodville
2324,Tea Gardens - Hawks Nest
2324,Williamtown - Medowie - Karuah
2324,Bulahdelah - Stroud
2325,Branxton - Greta - Pokolbin
2325,Cessnock
2325,Cessnock Region
2325,Singleton Region
2326,Kurri Kurri - Abermain
2326,Maitland - West
2327,Kurri Kurri - Abermain
2328,Muswellbrook Region
2329,Mudgee Region - West
2329,Scone Region
2330,Singleton
2330,Singleton Region
2330,Muswellbrook Region
2331,Singleton
2331,Singleton Region
2333,Muswellbrook
2333,Muswellbrook Region
2333,Scone Region
2334,Branxton - Greta - Pokolbin
2335,Branxton - Greta - Pokolbin
2335,Singleton Region
2335,Maitland - West
2336,Muswellbrook Region
2336,Scone Region
2337,Scone
2337,Scone Region
2338,Scone Region
2338,Quirindi
2338,Tamworth Region
2339,Quirindi
2340,Gunnedah Region
2340,Tamworth - East
2340,Tamworth - North
2340,Tamworth - West
2340,Tamworth Region
2341,Gunnedah Region
2341,Quirindi
2342,Gunnedah Region
2342,Quirindi
2342,Tamworth Region
2343,Gunnedah Region
2343,Quirindi
2344,Tamworth Region
2345,Tamworth Region
2346,Tamworth Region
2347,Inverell Region - West
2347,Narrabri Region
2347,Tamworth Region
2350,Armidale
2350,Armidale Region - North
2350,Armidale Region - South
2351,Armidale
2352,Tamworth Region
2353,Tamworth Region
2354,Armidale Region - South
2354,Walcha
2355,Armidale Region - South
2355,Tamworth Region
2356,Narrabri Region
2357,Coonabarabran
2358,Armidale Region - South
2359,Armidale Region - South
2359,Inverell Region - East
2359,Inverell Region - West
2360,Inverell
2360,Inverell Region - East
2360,Inverell Region - West
2361,Inverell Region - East
2365,Armidale Region - North
2365,Glen Innes
2365,Inverell Region - East
2369,Inverell Region - East
2370,Grafton Region
2370,Glen Innes
2370,Inverell Region - East
2371,Glen Innes
2371,Inverell Region - East
2371,Tenterfield
2372,Tenterfield
2372,Stanthorpe Region
2379,Coonabarabran
2379,Gunnedah Region
2380,Gunnedah
2380,Gunnedah Region
2381,Coonabarabran
2381,Gunnedah Region
2381,Quirindi
2382,Narrabri Region
2382,Gunnedah Region
2386,Walgett - Lightning Ridge
2386,Narrabri Region
2387,Walgett - Lightning Ridge
2387,Moree Region
2387,Narrabri Region
2388,Walgett - Lightning Ridge
2388,Narrabri Region
2390,Inverell Region - West
2390,Moree Region
2390,Narrabri
2390,Narrabri Region
2390,Gunnedah Region
2395,Coonabarabran
2396,Coonabarabran
2397,Moree Region
2397,Narrabri Region
2398,Moree Region
2399,Inverell Region - West
2399,Moree Region
2400,Moree
2400,Moree Region
2401,Inverell Region - West
2401,Moree Region
2402,Inverell Region - East
2402,Inverell Region - West
2403,Inverell Region - West
2404,Inverell Region - West
2405,Moree Region
2406,Moree Region
2406,Balonne
2406,Inglewood - Waggamba
2408,Moree Region
2409,Inverell Region - East
2409,Moree Region
2410,Inverell Region - East
2410,Inverell Region - West
2411,Inverell Region - West
2411,Moree Region
2415,Bulahdelah - Stroud
2420,Dungog
2420,Bulahdelah - Stroud
2421,Dungog
2421,Maitland - North
2422,Bulahdelah - Stroud
2422,Gloucester
2422,Taree Region
2423,Bulahdelah - Stroud
2423,Forster-Tuncurry Region
2423,Taree Region
2424,Gloucester
2424,Taree Region
2425,Bulahdelah - Stroud
2426,Taree Region
2427,Taree Region
2428,Forster
2428,Forster-Tuncurry Region
2428,Tuncurry
2429,Bulahdelah - Stroud
2429,Port Macquarie Region
2429,Taree Region
2429,Wingham
2430,Forster-Tuncurry Region
2430,Old Bar - Manning Point - Red Head
2430,Taree
2430,Taree Region
2431,South West Rocks
2439,Laurieton - Bonny Hills
2440,Kempsey
2440,Kempsey Region
2441,Bellingen
2441,Sawtell - Boambee
2441,Kempsey Region
2441,Nambucca Heads Region
2441,Port Macquarie Region
2443,Laurieton - Bonny Hills
2443,Taree Region
2444,Port Macquarie - East
2444,Port Macquarie - West
2444,Port Macquarie Region
2445,Laurieton - Bonny Hills
2446,Port Macquarie - West
2446,Port Macquarie Region
2446,Wauchope
2447,Macksville - Scotts Head
2447,Nambucca Heads Region
2448,Urunga
2448,Nambucca Heads
2448,Nambucca Heads Region
2449,Bellingen
2449,Nambucca Heads Region
2450,Grafton Region
2450,Coffs Harbour - North
2450,Coffs Harbour - South
2450,Coramba - Nana Glen - Bucca
2450,Dorrigo
2450,Korora - Emerald Beach
2450,Sawtell - Boambee
2452,Sawtell - Boambee
2453,Bellingen
2453,Dorrigo
2453,Armidale Region - North
2454,Bellingen
2454,Sawtell - Boambee
2454,Urunga
2455,Urunga
2456,Grafton Region
2456,Korora - Emerald Beach
2456,Woolgoolga - Arrawarra
2460,Grafton
2460,Grafton Region
2460,Woolgoolga - Arrawarra
2462,Grafton Region
2463,Grafton Region
2463,Maclean - Yamba - Iluka
2464,Maclean - Yamba - Iluka
2465,Maclean - Yamba - Iluka
2466,Maclean - Yamba - Iluka
2469,Grafton Region
2469,Maclean - Yamba - Iluka
2469,Tenterfield
2469,Evans Head
2469,Casino Region
2470,Casino
2470,Casino Region
2470,Kyogle
2470,Lismore Region
2471,Evans Head
2471,Casino Region
2471,Lismore Region
2472,Ballina Region
2472,Evans Head
2472,Lismore Region
2473,Evans Head
